word;translation;example_sentence;transition_sentence
martial; martialisch; They were trained in martial arts; Sie waren trainiert in martialischen Künsten
mask; Maske; He wore a mask; Er trug eine Maske
massacre; Massaker; They were victims of a massacre; Sie waren Opfer von einem Massaker
mate; Partner/in; They were good mates; Sie waren gute Partner
mathematical; mathematisch; It was a mathematical problem; Es war ein mathematisches Problem
mature; reif; The fruit was mature; Die Frucht war reif
maximize; maximieren; They tried to maximize their profits; Sie versuchten zu maximieren ihre Gewinne
mayor; Bürgermeister/in; The mayor opened the event; Der Bürgermeister eröffnete das Ereignis
meaningful; bedeutungsvoll; It was a meaningful gesture; Es war eine bedeutungsvolle Geste
meantime; inzwischen; In the meantime, we wait; In der Zwischenzeit, wir warten
mechanic; Mechaniker/in; He is a car mechanic; Er ist ein Auto Mechaniker
mechanical; mechanisch; It was a mechanical device; Es war eine mechanische Vorrichtung
mechanism; Mechanismus; They studied the mechanism; Sie studierten den Mechanismus
medal; Medaille; He won a medal; Er gewann eine Medaille
medication; Medikament; They took their medication; Sie nahmen ihre Medikamente
medieval; mittelalterlich; It was a medieval castle; Es war ein mittelalterliches Schloss
meditation; Meditation; She does meditation every day; Sie macht Meditation jeden Tag
melody; Melodie; The song has a beautiful melody; Das Lied hat eine schöne Melodie
membership; Mitgliedschaft; They have a membership card; Sie haben eine Mitgliedschaftskarte
memo; Memo; He sent a memo; Er sandte ein Memo
memoir; Memoiren; She wrote a memoir about her life; Sie schrieb Memoiren über ihr Leben
memorable; unvergesslich; It was a memorable experience; Es war eine unvergessliche Erfahrung
memorial; Denkmal; They built a memorial; Sie bauten ein Denkmal
mentor; Mentor/in; He is a mentor for the new staff; Er ist ein Mentor für das neue Personal
merchant; Händler/in; He is a merchant; Er ist ein Händler
mercy; Gnade; They showed mercy to him; Sie zeigten Gnade zu ihm
mere; bloß; It was a mere coincidence; Es war ein bloßer Zufall
merely; lediglich; They merely wanted to ask a question; Sie lediglich wollten fragen eine Frage
merge; verschmelzen; They merged the two companies; Sie verschmolzen die zwei Firmen
merger; Fusion; There was a merger of two companies; Es war eine Fusion von zwei Firmen
merit; Verdienst; It was an argument on its merit; Es war eine Argumentation auf seinem Verdienst
metaphor; Metapher; He used a metaphor; Er benutzte eine Metapher
methodology; Methodik; They used a specific methodology; Sie benutzten eine spezifische Methodik
midst; inmitten; They were in the midst of a crisis; Sie waren inmitten einer Krise
migration; Migration; They studied the migration of birds; Sie studierten die Migration von Vögeln
militant; militant; They were a militant group; Sie waren eine militante Gruppe
militia; Miliz; They joined the militia; Sie traten bei der Miliz
mill; Mühle; They used a mill to grind flour; Sie benutzten eine Mühle um zu mahlen Mehl
miner; Bergmann/frau; He is a coal miner; Er ist ein Kohle Bergmann
minimal; minimal; The damage was minimal; Der Schaden war minimal
minimize; minimieren; They tried to minimize the risk; Sie versuchten zu minimieren das Risiko
mining; Bergbau; They work in the mining industry; Sie arbeiten in der Bergbau Industrie
ministry; Ministerium; They work in the ministry of education; Sie arbeiten in dem Ministerium von Bildung
minute; Minute; They waited for a minute; Sie warteten für eine Minute
miracle; Wunder; It was a miracle; Es war ein Wunder
miserable; elend; He felt miserable; Er fühlte sich elend
misery; Elend; He lived a life of misery; Er lebte ein Leben von Elend
misleading; irreführend; The information was misleading; Die Informationen waren irreführend
missile; Rakete; They launched a missile; Sie starteten eine Rakete
mob; Mob; There was an angry mob; Es war ein wütender Mob
mobility; Mobilität; They studied the mobility of the population; Sie studierten die Mobilität von der Bevölkerung
mobilize; mobilisieren; They tried to mobilize the troops; Sie versuchten zu mobilisieren die Truppen
mode; Modus; They used a different mode; Sie benutzten ein anderes Modus
moderate; gemäßigt; He had a moderate view; Er hatte eine gemäßigte Ansicht
modest; bescheiden; He had a modest lifestyle; Er hatte einen bescheidenen Lebensstil
modification; Modifikation; They made a modification to the machine; Sie machten eine Modifikation zu der Maschine
momentum; Schwung; The project gained momentum; Das Projekt gewann Schwung
monk; Mönch; He was a monk; Er war ein Mönch
monopoly; Monopol; They had a monopoly on the market; Sie hatten ein Monopol auf dem Markt
monster; Monster; It was a monster truck; Es war ein Monster LKW
monthly; monatlich; They paid a monthly fee; Sie zahlten eine monatliche Gebühr
monument; Denkmal; They built a monument; Sie bauten ein Denkmal
morality; Moral; They questioned his morality; Sie fragten seine Moral in Frage
moreover; außerdem; Moreover, he was very kind; Außerdem, er war sehr freundlich
mortgage; Hypothek; They took out a mortgage; Sie nahmen auf eine Hypothek
mosque; Moschee; They prayed in the mosque; Sie beteten in der Moschee
motion; Bewegung; He made a motion with his hand; Er machte eine Bewegung mit seiner Hand
motivate; motivieren; They tried to motivate the team; Sie versuchten zu motivieren das Team
motivation; Motivation; He had a lack of motivation; Er hatte einen Mangel an Motivation
motive; Motiv; What was his motive?; Was war sein Motiv?
motorist; Autofahrer/in; The motorist was speeding; Der Autofahrer war überhöht
moving; bewegend; It was a very moving speech; Es war eine sehr bewegende Rede
municipal; städtisch; They had municipal responsibilities; Sie hatten städtische Verantwortlichkeiten
mutual; gegenseitig; They had a mutual agreement; Sie hatten eine gegenseitige Vereinbarung
myth; Mythos; It was a myth; Es war ein Mythos
naked; nackt; They saw him naked; Sie sahen ihn nackt
namely; nämlich; They invited two guests, namely John and Mary; Sie luden zwei Gäste ein, nämlich John und Mary
nasty; gemein; He was very nasty to her; Er war sehr gemein zu ihr
nationwide; landesweit; The survey was nationwide; Die Umfrage war landesweit
naval; Marine-; They had a naval base; Sie hatten eine Marine Basis
navigation; Navigation; They used a map for navigation; Sie benutzten eine Karte für Navigation
nearby; nahegelegen; They live nearby; Sie leben nahegelegen
necessity; Notwendigkeit; It was a necessity; Es war eine Notwendigkeit
neglect; vernachlässigen; They neglected their duties; Sie vernachlässigten ihre Pflichten
negotiate; verhandeln; They need to negotiate a deal; Sie müssen verhandeln einen Deal
negotiation; Verhandlung; They started negotiations; Sie starteten Verhandlungen
neighbouring; benachbart; They live in a neighbouring town; Sie leben in einer benachbarten Stadt
nest; Nest; The birds built a nest; Die Vögel bauten ein Nest
net; Netz; They used a fishing net; Sie benutzten ein Fischernetz
neutral; neutral; They remained neutral; Sie blieben neutral
newly; neu; They were newly married; Sie waren neu verheiratet
newsletter; Newsletter; They published a newsletter; Sie veröffentlichten einen Newsletter
niche; Nische; They found a niche in the market; Sie fanden eine Nische in dem Markt
noble; edel; He was from a noble family; Er war von einer edlen Familie
nod; nicken; She gave a nod of approval; Sie gab ein Nicken von Zustimmung
nominate; nominieren; They nominated her for the award; Sie nominierten sie für die Auszeichnung
nomination; Nominierung; They received a nomination; Sie erhielten eine Nominierung
nominee; Nominierte/r; He is a nominee for the prize; Er ist ein Nominierter für den Preis
non-profit; gemeinnützig; It is a non-profit organization; Es ist eine gemeinnützige Organisation
nonetheless; dennoch; It was difficult nonetheless; Es war schwierig dennoch
nonsense; Unsinn; That is complete nonsense; Das ist kompletter Unsinn
noon; Mittag; They met at noon; Sie trafen sich um Mittag
norm; Norm; It was the norm; Es war die Norm
notable; bemerkenswert; He was a notable figure; Er war eine bemerkenswerte Figur
notably; insbesondere; The weather was bad, notably the wind; Das Wetter war schlecht, insbesondere der Wind
notebook; Notizbuch; She wrote in a notebook; Sie schrieb in einem Notizbuch
notify; benachrichtigen; They need to notify the police; Sie müssen benachrichtigen die Polizei
notorious; berüchtigt; He was notorious for his crimes; Er war berüchtigt für seine Verbrechen
novel; Roman; She wrote a novel; Sie schrieb einen Roman
novelist; Schriftsteller/in; He is a famous novelist; Er ist ein berühmter Schriftsteller
nowadays; heutzutage; Nowadays, people use mobile phones; Heutzutage, Leute benutzen Handys
nursery; Kindergarten; They went to the nursery; Sie gingen zu dem Kindergarten
nursing; Krankenpflege; She is training in nursing; Sie trainiert in Krankenpflege
nutrition; Ernährung; They studied nutrition; Sie studierten Ernährung
obesity; Fettleibigkeit; Obesity is a health problem; Fettleibigkeit ist ein Gesundheitsproblem
objection; Einwand; They had an objection; Sie hatten einen Einwand
oblige; verpflichten; They were obliged to go; Sie waren verpflichtet zu gehen
observer; Beobachter/in; He is an observer at the meeting; Er ist ein Beobachter bei dem Treffen
obsess; besessen sein; He was obsessed with the game; Er war besessen von dem Spiel
obsession; Besessenheit; It was an obsession; Es war eine Besessenheit
obstacle; Hindernis; They overcame the obstacles; Sie überwanden die Hindernisse
occasional; gelegentlich; They had occasional visits; Sie hatten gelegentliche Besuche
occupation; Beruf; What is his occupation?; Was ist sein Beruf?
occupy; besetzen; They occupied the land; Sie besetzten das Land
occurrence; Vorkommnis; It was a rare occurrence; Es war ein seltenes Vorkommnis
odds; Wahrscheinlichkeit; The odds of winning were low; Die Wahrscheinlichkeit von Gewinnen war niedrig
offender; Täter/in; He was a first-time offender; Er war ein Erst Täter
offering; Angebot; They gave an offering; Sie gaben ein Angebot
offspring; Nachwuchs; They have no offspring; Sie haben keinen Nachwuchs
ongoing; laufend; It was an ongoing process; Es war ein laufender Prozess
openly; offen; They spoke openly about the issues; Sie sprachen offen über die Themen
opera; Oper; They went to the opera; Sie gingen zu der Oper
operational; betriebsbereit; The system was operational; Das System war betriebsbereit
operator; Bediener/in; He was the machine operator; Er war der Maschine Bediener
opt; entscheiden; They opted for that plan; Sie entschieden für den Plan
optical; optisch; They needed an optical device; Sie brauchten ein optisches Gerät
optimism; Optimismus; He had a lot of optimism; Er hatte eine Menge Optimismus
optimistic; optimistisch; He was very optimistic; Er war sehr optimistisch
oral; mündlich; They gave an oral presentation; Sie gaben eine mündliche Präsentation
orchestra; Orchester; The orchestra played well; Das Orchester spielte gut
organic; organisch; They grew organic food; Sie bauten an organisches Essen
organizational; organisatorisch; They need organizational skills; Sie brauchen organisatorische Fähigkeiten
orientation; Orientierung; They had an orientation session; Sie hatten eine Orientierungs Sitzung
originate; entstehen; The idea originated from him; Die Idee entstand von ihm
outbreak; Ausbruch; There was an outbreak of disease; Es war ein Ausbruch von Krankheit
outfit; Outfit; She bought a new outfit; Sie kaufte ein neues Outfit
outing; Ausflug; They went on a day outing; Sie gingen auf einen Tages Ausflug
outlet; Auslass; They bought it from the factory outlet; Sie kauften es von dem Fabrik Auslass
outlook; Aussicht; He had a positive outlook on life; Er hatte eine positive Aussicht auf das Leben
output; Leistung; They measured the output; Sie maßen die Leistung
outrage; Empörung; There was an outrage over the issue; Es war eine Empörung über das Thema
outsider; Außenseiter/in; He was an outsider in the group; Er war ein Außenseiter in der Gruppe
outstanding; hervorragend; The performance was outstanding; Die Leistung war hervorragend
overcome; überwinden; They overcame the difficulties; Sie überwanden die Schwierigkeiten
overlook; übersehen; They overlooked the mistake; Sie übersahen den Fehler
overly; übermäßig; He was overly concerned; Er war übermäßig besorgt
overnight; über Nacht; They stayed overnight; Sie blieben über Nacht
overseas; Übersee; They travelled overseas; Sie reisten Übersee
oversee; beaufsichtigen; They had to oversee the project; Sie mussten beaufsichtigen das Projekt
overturn; umstürzen; They overturned the decision; Sie stürzten um die Entscheidung
overwhelm; überwältigen; The emotions overwhelmed her; Die Emotionen überwältigten sie
overwhelming; überwältigend; It was an overwhelming experience; Es war eine überwältigende Erfahrung
ownership; Eigentum; They had ownership of the house; Sie hatten Eigentum von dem Haus
oxygen; Sauerstoff; The air is full of oxygen; Die Luft ist voll von Sauerstoff
packet; Päckchen; He bought a packet of crisps; Er kaufte ein Päckchen von Chips
pad; Block; He wrote on a pad; Er schrieb auf einem Block
palm; Handfläche; He held the coin in his palm; Er hielt die Münze in seiner Handfläche
panic; Panik; There was a sense of panic; Es war ein Gefühl von Panik
parade; Parade; They watched the parade; Sie schauten die Parade
parallel; parallel; The lines were parallel; Die Linien waren parallel
parameter; Parameter; They discussed the parameters of the project; Sie diskutierten die Parameter von dem Projekt
parental; elterlich; They had parental responsibilities; Sie hatten elterliche Verantwortlichkeiten
parish; Gemeinde; They live in the parish; Sie leben in der Gemeinde
parliamentary; parlamentarisch; They debated in the parliamentary meeting; Sie debattierten in dem parlamentarischen Treffen
part-time; Teilzeit; They worked part-time; Sie arbeiteten Teilzeit
partial; teilweise; They had partial success; Sie hatten teilweisen Erfolg
partially; teilweise; It was partially true; Es war teilweise wahr
participation; Teilnahme; They had low participation; Sie hatten niedrige Teilnahme
partnership; Partnerschaft; They formed a partnership; Sie formten eine Partnerschaft
passing; vorbeigehend; They gave a passing glance; Sie gaben einen vorbeigehenden Blick
passionate; leidenschaftlich; He was a passionate supporter; Er war ein leidenschaftlicher Unterstützer
passive; passiv; He played a passive role; Er spielte eine passive Rolle
password; Passwort; They needed a password; Sie brauchten ein Passwort
pastor; Pfarrer/in; He is the local pastor; Er ist der lokale Pfarrer
patch; Fleck; They had a patch of grass; Sie hatten ein Fleck von Gras
patent; Patent; They have a patent for their product; Sie haben ein Patent für ihr Produkt
pathway; Weg; They walked on the pathway; Sie gingen auf dem Weg
patience; Geduld; They needed patience; Sie brauchten Geduld
patrol; patrouillieren; They patrolled the area; Sie patrouillierten die Gegend
patron; Gönner/in; He was a patron of the arts; Er war ein Gönner von den Künsten
pause; Pause; They had a short pause; Sie hatten eine kurze Pause
peak; Gipfel; They reached the peak; Sie erreichten den Gipfel
peasant; Bauer/Bäuerin; They were poor peasants; Sie waren arme Bauern
peculiar; eigentümlich; He had a peculiar habit; Er hatte eine eigentümliche Gewohnheit
peer; Gleichgestellte/r; They were his peers; Sie waren seine Gleichgestellten
penalty; Strafe; They paid a penalty; Sie zahlten eine Strafe
perceive; wahrnehmen; They perceive it differently; Sie nehmen es wahr anders
perception; Wahrnehmung; They had a different perception; Sie hatten eine andere Wahrnehmung
permanently; dauerhaft; They were permanently banned; Sie waren dauerhaft verboten
persist; bestehen; The problem persisted; Das Problem bestand
persistent; beharrlich; He was a persistent salesman; Er war ein beharrlicher Verkäufer
personnel; Personal; They had a meeting with the personnel; Sie hatten ein Treffen mit dem Personal
petition; Petition; They signed a petition; Sie unterschrieben eine Petition
philosopher; Philosoph/in; He is a great philosopher; Er ist ein großer Philosoph
philosophical; philosophisch; They had a philosophical discussion; Sie hatten eine philosophische Diskussion
physician; Arzt/Ärztin; She is a physician; Sie ist eine Ärztin
pill; Pille; They took a pill; Sie nahmen eine Pille
pioneer; Pionier/in; He is a pioneer in the field; Er ist ein Pionier in dem Feld
pipeline; Pipeline; They built a pipeline; Sie bauten eine Pipeline
pirate; Pirat; They were attacked by pirates; Sie wurden angegriffen von Piraten
pit; Grube; They fell into the pit; Sie fielen in die Grube
pity; Mitleid; He had pity on them; Er hatte Mitleid mit ihnen
placement; Platzierung; They discussed the placement of the item; Sie diskutierten die Platzierung von dem Gegenstand
plea; Plädoyer; He made a plea for help; Er machte ein Plädoyer für Hilfe
plead; plädieren; He pleaded guilty; Er plädierte schuldig
pledge; Versprechen; They made a pledge; Sie machten ein Versprechen
plug; Stecker; They put the plug in the socket; Sie legten den Stecker in die Steckdose
plunge; stürzen; They plunged into the water; Sie stürzten in das Wasser
pole; Stange; They climbed the pole; Sie kletterten die Stange
poll; Umfrage; They did a poll; Sie machten eine Umfrage
pond; Teich; They swam in the pond; Sie schwammen in dem Teich
pop; Pop; He listens to pop music; Er hört Pop Musik
portfolio; Portfolio; They had a varied portfolio; Sie hatten ein vielfältiges Portfolio
portion; Portion; He ate a large portion; Er aß eine große Portion
portray; darstellen; They portrayed him as a hero; Sie stellten dar ihn als einen Helden
post-war; Nachkriegs-; It was a post-war era; Es war eine Nachkriegs Ära
postpone; verschieben; They had to postpone the event; Sie mussten verschieben das Ereignis
potentially; potenziell; They are potentially dangerous; Sie sind potenziell gefährlich
practitioner; Praktiker/in; He is a medical practitioner; Er ist ein medizinischer Praktiker
preach; predigen; He preached in the church; Er predigte in der Kirche
precede; vorausgehen; The storm will precede the rain; Der Sturm wird vorausgehen den Regen
precedent; Präzedenzfall; It was a precedent; Es war ein Präzedenzfall
precious; kostbar; It was a precious gift; Es war ein kostbares Geschenk
precise; präzise; They needed precise measurements; Sie brauchten präzise Messungen
precisely; präzise; They arrived precisely on time; Sie kamen an präzise pünktlich
precision; Präzision; The work required precision; Die Arbeit erforderte Präzision
predator; Raubtier; The lion is a predator; Der Löwe ist ein Raubtier
predecessor; Vorgänger/in; He was her predecessor in the role; Er war ihr Vorgänger in der Rolle
predictable; vorhersehbar; The result was predictable; Das Ergebnis war vorhersehbar
predominantly; überwiegend; They were predominantly male; Sie waren überwiegend männlich
preference; Vorliebe; They had a preference for coffee; Sie hatten eine Vorliebe für Kaffee
pregnancy; Schwangerschaft; She is expecting a pregnancy; Sie erwartet eine Schwangerschaft
prejudice; Vorurteil; They suffered from prejudice; Sie litten unter Vorurteil
preliminary; vorläufig; They had a preliminary meeting; Sie hatten ein vorläufiges Treffen
premier; Premier/in; He is the premier of the province; Er ist der Premier von der Provinz
premise; Prämisse; They worked on the premise; Sie arbeiteten auf der Prämisse
premium; Prämie; They paid a premium price; Sie zahlten einen Prämien Preis
prescribe; verschreiben; The doctor prescribed the medication; Der Arzt verschrieb das Medikament
prescription; Rezept; They needed a prescription; Sie brauchten ein Rezept
presently; gegenwärtig; They are presently working on that project; Sie sind gegenwärtig arbeiten an dem Projekt
preservation; Erhaltung; They are working on the preservation of nature; Sie arbeiten an der Erhaltung von Natur
preside; vorsitzen; He presided over the meeting; Er saß vor dem Treffen
presidency; Präsidentschaft; He won the presidency; Er gewann die Präsidentschaft
presidential; präsidential; They had a presidential election; Sie hatten eine präsidential Wahl
prestigious; prestigeträchtig; It was a prestigious award; Es war eine prestigeträchtige Auszeichnung
presumably; vermutlich; Presumably, they will arrive soon; Vermutlich, sie werden ankommen bald
presume; vermuten; They presume he is guilty; Sie vermuten er ist schuldig
prevail; herrschen; The good will prevail; Das Gute wird herrschen
prevalence; Verbreitung; They studied the prevalence of the disease; Sie studierten die Verbreitung von der Krankheit
prevention; Prävention; They worked on disease prevention; Sie arbeiteten an Krankheits Prävention
prey; Beute; The cat chased its prey; Die Katze jagte ihre Beute
pride; Stolz; He felt pride in his son; Er fühlte Stolz auf seinen Sohn
primarily; hauptsächlich; They were primarily concerned with safety; Sie waren hauptsächlich besorgt mit Sicherheit
principal; Haupt-; They went to the principal building; Sie gingen zu dem Haupt Gebäude
prior; vorherig; They had a prior engagement; Sie hatten eine vorherige Verpflichtung
privatization; Privatisierung; They discussed the privatization of the company; Sie diskutierten die Privatisierung von der Firma
privilege; Privileg; They had a privilege to enter; Sie hatten ein Privileg zu betreten
probability; Wahrscheinlichkeit; They calculated the probability; Sie berechneten die Wahrscheinlichkeit
probable; wahrscheinlich; It was a probable outcome; Es war ein wahrscheinliches Ergebnis
probe; Sonde; They sent a probe to the planet; Sie sandten eine Sonde zu dem Planeten
problematic; problematisch; It was a problematic situation; Es war eine problematische Situation
proceed; fortfahren; They need to proceed with the plan; Sie müssen fortfahren mit dem Plan
proceeding; Vorgang; They followed the legal proceedings; Sie folgten den rechtlichen Vorgängen
proceeds; Erlös; They donated the proceeds; Sie spendeten den Erlös
processing; Verarbeitung; They are processing the data; Sie sind verarbeiten die Daten
processor; Prozessor; They use a computer processor; Sie benutzen ein Computer Prozessor
proclaim; verkünden; They proclaimed his innocence; Sie verkündeten seine Unschuld
productive; produktiv; They were very productive; Sie waren sehr produktiv
productivity; Produktivität; They measured their productivity; Sie maßen ihre Produktivität
profitable; profitabel; The business was very profitable; Das Geschäft war sehr profitabel
profound; tiefgründig; It had a profound effect on him; Es hatte einen tiefgründigen Effekt auf ihn
programming; Programmierung; They studied computer programming; Sie studierten Computer Programmierung
progressive; fortschrittlich; They were a progressive party; Sie waren eine fortschrittliche Partei
prohibit; verbieten; They prohibit smoking; Sie verbieten Rauchen
projection; Projektion; They showed a projection on the wall; Sie zeigten eine Projektion an der Wand
prominent; prominent; He was a prominent figure; Er war eine prominente Figur
promising; vielversprechend; It was a promising start; Es war ein vielversprechender Start
promotion; Beförderung; They received a promotion; Sie erhielten eine Beförderung
prompt; auffordern; They prompted him to speak; Sie forderten ihn auf zu sprechen
pronounced; ausgeprägt; He had a pronounced accent; Er hatte einen ausgeprägten Akzent
propaganda; Propaganda; They spread propaganda; Sie verbreiteten Propaganda
proportion; Anteil; They had a large proportion of the vote; Sie hatten einen großen Anteil von der Stimme
proposition; Vorschlag; They made a proposition; Sie machten einen Vorschlag
prosecute; strafrechtlich verfolgen; They need to prosecute him; Sie müssen strafrechtlich verfolgen ihn
prosecution; Strafverfolgung; They faced prosecution; Sie erlebten Strafverfolgung
prosecutor; Staatsanwalt/Staatsanwältin; He is the prosecutor; Er ist der Staatsanwalt
prospective; zukünftig; They are prospective clients; Sie sind zukünftige Klienten
prosperity; Wohlstand; They are working for prosperity; Sie arbeiten für Wohlstand
protective; schützend; They wore protective clothing; Sie trugen schützende Kleidung
protein; Protein; They ate a lot of protein; Sie aßen eine Menge von Protein
protester; Demonstrant/in; He was a protester; Er war ein Demonstrant
protocol; Protokoll; They followed the protocol; Sie folgten dem Protokoll
province; Provinz; They lived in a province; Sie lebten in einer Provinz
provincial; provinziell; It was a provincial matter; Es war eine provinzielle Angelegenheit
provision; Versorgung; They provided food provision; Sie stellten Essen Versorgung
provoke; provozieren; They tried to provoke a reaction; Sie versuchten zu provozieren eine Reaktion
psychiatric; psychiatrisch; They had psychiatric problems; Sie hatten psychiatrische Probleme
psychological; psychologisch; They had psychological issues; Sie hatten psychologische Probleme
publicity; Öffentlichkeit; They sought more publicity; Sie suchten mehr Öffentlichkeit
publishing; Verlagswesen; They work in the publishing industry; Sie arbeiten in der Verlagswesen Industrie
pulse; Puls; They checked his pulse; Sie überprüften seinen Puls
pump; Pumpe; They used a pump to get the water out; Sie benutzten eine Pumpe um zu bekommen das Wasser heraus
punch; Schlag; He gave him a punch; Er gab ihm einen Schlag
punk; Punk; He listens to punk music; Er hört Punk Musik
purely; rein; It was purely for fun; Es war rein für Spaß
pursuit; Verfolgung; They were in pursuit of the car; Sie waren in Verfolgung von dem Auto
puzzle; Rätsel; It was a difficult puzzle; Es war ein schwieriges Rätsel
query; Anfrage; They had a query; Sie hatten eine Anfrage
quest; Suche; They were on a quest; Sie waren auf einer Suche
questionnaire; Fragebogen; They filled in a questionnaire; Sie füllten aus einen Fragebogen
quota; Quote; They had a quota to reach; Sie hatten eine Quote zu erreichen
racial; rassistisch; They faced racial discrimination; Sie erlebten rassistische Diskriminierung
racism; Rassismus; They fought against racism; Sie kämpften gegen Rassismus
racist; Rassist/in; He was a racist; Er war ein Rassist
radar; Radar; They used radar; Sie benutzten Radar
radiation; Strahlung; They studied radiation; Sie studierten Strahlung
radical; radikal; It was a radical approach; Es war ein radikaler Ansatz
rage; Wut; He was filled with rage; Er war gefüllt mit Wut
raid; Razzia; They did a police raid; Sie machten eine Polizei Razzia
rail; Schiene; The train ran on the rail; Der Zug fuhr auf der Schiene
rally; Kundgebung; They organized a rally; Sie organisierten eine Kundgebung
random; zufällig; They made a random selection; Sie machten eine zufällige Auswahl
ranking; Rangfolge; They had a high ranking; Sie hatten eine hohe Rangfolge
rape; Vergewaltigung; They committed rape; Sie begingen Vergewaltigung
rat; Ratte; They saw a rat; Sie sahen eine Ratte
rating; Bewertung; They had a high rating; Sie hatten eine hohe Bewertung
ratio; Verhältnis; They calculated the ratio; Sie berechneten das Verhältnis
rational; rational; It was a rational decision; Es war eine rationale Entscheidung
ray; Strahl; The sun emitted rays; Die Sonne emittierte Strahlen
readily; bereitwillig; They accepted it readily; Sie akzeptierten es bereitwillig
realization; Erkenntnis; It was a sudden realization; Es war eine plötzliche Erkenntnis
realm; Bereich; It is in their realm; Es ist in ihrem Bereich
rear; hinten; They sat at the rear of the car; Sie saßen an dem hinten von dem Auto
reasonably; vernünftig; They acted reasonably; Sie handelten vernünftig
reasoning; Argumentation; They used logical reasoning; Sie benutzten logische Argumentation
reassure; beruhigen; They tried to reassure her; Sie versuchten zu beruhigen sie
rebel; Rebell/in; They were rebels; Sie waren Rebellen
rebellion; Rebellion; They started a rebellion; Sie starteten eine Rebellion
rebuild; wiederaufbauen; They tried to rebuild the town; Sie versuchten wiederaufzubauen die Stadt
receiver; Empfänger/in; He was the receiver of the package; Er war der Empfänger von dem Paket
recession; Rezession; The country was in a recession; Das Land war in einer Rezession
recipient; Empfänger/in; She was the recipient of the award; Sie war die Empfängerin von der Auszeichnung
reckon; rechnen; They reckon it will cost a lot; Sie rechnen, dass es kosten wird eine Menge
recognition; Anerkennung; They received recognition for their work; Sie erhielten Anerkennung für ihre Arbeit
reconstruction; Wiederaufbau; They worked on the reconstruction; Sie arbeiteten an dem Wiederaufbau
recount; wiedererzählen; They recounted the story; Sie wiedererzählten die Geschichte
recovery; Erholung; They made a full recovery; Sie machten eine volle Erholung
recruit; rekrutieren; They recruited new staff; Sie rekrutierten neues Personal
recruitment; Rekrutierung; They had a recruitment campaign; Sie hatten eine Rekrutierungs Kampagne
referee; Schiedsrichter/in; The referee stopped the game; Der Schiedsrichter stoppte das Spiel
referendum; Referendum; They had a referendum; Sie hatten ein Referendum
reflection; Reflexion; He saw his reflection in the mirror; Er sah seine Reflexion in dem Spiegel
reform; Reform; They implemented a reform; Sie implementierten eine Reform
refuge; Zuflucht; They found refuge in the church; Sie fanden Zuflucht in der Kirche
refugee; Flüchtling; They were refugees; Sie waren Flüchtlinge
refusal; Ablehnung; They met with a refusal; Sie trafen auf eine Ablehnung
regain; wiedererlangen; They tried to regain control; Sie versuchten wiederzuerlangen Kontrolle
regardless; ungeachtet; They went regardless of the weather; Sie gingen ungeachtet des Wetters
regime; Regime; The country was ruled by a regime; Das Land war regiert von einem Regime
registration; Registrierung; They needed a registration; Sie brauchten eine Registrierung
regulate; regulieren; They need to regulate the industry; Sie müssen regulieren die Industrie
regulator; Regulierer/in; He is a regulator; Er ist ein Regulierer
regulatory; regulierend; They had regulatory issues; Sie hatten regulierende Themen
rehabilitation; Rehabilitation; They received rehabilitation; Sie erhielten Rehabilitation
reign; herrschen; He reigned over the country; Er herrschte über das Land
reinforce; verstärken; They reinforced the building; Sie verstärkten das Gebäude
rejection; Ablehnung; They faced rejection; Sie erlebten Ablehnung
relevance; Relevanz; The information had no relevance; Die Informationen hatten keine Relevanz
reliability; Zuverlässigkeit; They valued reliability; Sie schätzten Zuverlässigkeit
relieve; erleichtern; They tried to relieve the pain; Sie versuchten zu erleichtern den Schmerz
relieved; erleichtert; They were relieved to hear the news; Sie waren erleichtert zu hören die Nachrichten
reluctant; widerwillig; He was reluctant to go; Er war widerwillig zu gehen
remainder; Rest; They ate the remainder of the food; Sie aßen den Rest von dem Essen
remains; Überreste; They found the remains of an old building; Sie fanden die Überreste von einem alten Gebäude
remarkable; bemerkenswert; It was a remarkable achievement; Es war eine bemerkenswerte Errungenschaft
remarkably; bemerkenswert; He was remarkably calm; Er war bemerkenswert ruhig
remedy; Abhilfe; They needed a remedy for the problem; Sie brauchten eine Abhilfe für das Problem
reminder; Erinnerung; They left a reminder; Sie ließen eine Erinnerung
removal; Entfernung; They organized the removal of the waste; Sie organisierten die Entfernung von dem Müll
render; machen; They need to render the data; Sie müssen machen die Daten
renew; erneuern; They had to renew the contract; Sie mussten erneuern den Vertrag
renowned; berühmt; He is a renowned scientist; Er ist ein berühmter Wissenschaftler
rental; Miete; They had a rental agreement; Sie hatten eine Mietvereinbarung
replacement; Ersatz; They needed a replacement part; Sie brauchten ein Ersatzteil
reportedly; angeblich; He was reportedly involved; Er war angeblich involviert
reporting; Berichterstattung; They are responsible for the reporting; Sie sind verantwortlich für die Berichterstattung
representation; Vertretung; They had a good representation at the meeting; Sie hatten eine gute Vertretung bei dem Treffen
reproduce; reproduzieren; They tried to reproduce the results; Sie versuchten zu reproduzieren die Ergebnisse
reproduction; Reproduktion; They used the process for reproduction; Sie benutzten den Prozess für Reproduktion
republic; Republik; They live in a republic; Sie leben in einer Republik
resemble; ähneln; They resemble each other; Sie ähneln einander
