word;translation;example_sentence;transition_sentence
price; Preis; what is the price?; was ist der Preis?
priest; Priester; he is a priest; er ist ein Priester
primary; primär; it's primary; es ist primär
prime; erstklassig; it's prime; es ist erstklassig
prince; Prinz; he is a prince; er ist ein Prinz
princess; Prinzessin; she is a princess; sie ist eine Prinzessin
principle; Prinzip; it's a principle; es ist ein Prinzip
print; drucken; they print the document; sie drucken das Dokument
printer; Drucker; it's a printer; es ist ein Drucker
printing; Druck; it's the printing; es ist der Druck
priority; Priorität; it's a priority; es ist eine Priorität
prison; Gefängnis; it's a prison; es ist ein Gefängnis
prisoner; Gefangener; he is a prisoner; er ist ein Gefangener
privacy; Privatsphäre; I need privacy; ich brauche Privatsphäre
private; privat; it's private; es ist privat
prize; Preis; it's a prize; es ist ein Preis
probably; wahrscheinlich; probably it's true; wahrscheinlich ist es wahr
problem; Problem; it's a problem; es ist ein Problem
procedure; Verfahren; it's a procedure; es ist ein Verfahren
process; Prozess; it's a process; es ist ein Prozess
produce; produzieren; they produce the goods; sie produzieren die Güter
producer; Produzent; he is a producer; er ist ein Produzent
product; Produkt; it's a good product; es ist ein gutes Produkt
production; Produktion; it's the production line; es ist die Produktionslinie
profession; Beruf; what's your profession?; was ist dein Beruf?
professional; professionell; it's a professional job; es ist ein professioneller Job
professor; Professor; he is a professor; er ist ein Professor
profile; Profil; it's a profile; es ist ein Profil
profit; Gewinn; it's a profit; es ist ein Gewinn
program; Programm; it's a program; es ist ein Programm
programme; Programm; it's a programme; es ist ein Programm
progress; Fortschritt; it's a progress; es ist ein Fortschritt
project; Projekt; it's a project; es ist ein Projekt
promise; Versprechen; it's a promise; es ist ein Versprechen
promote; fördern; they promote the product; sie fördern das Produkt
pronounce; aussprechen; they pronounce the word; sie sprechen das Wort aus
proof; Beweis; it's a proof; es ist ein Beweis
proper; richtig; it's proper; es ist richtig
properly; richtig; they do it properly; sie machen es richtig
property; Eigentum; it's my property; es ist mein Eigentum
proposal; Vorschlag; it's a proposal; es ist ein Vorschlag
propose; vorschlagen; they propose a plan; sie schlagen einen Plan vor
prospect; Aussicht; it's a prospect; es ist eine Aussicht
protect; schützen; they protect the area; sie schützen das Gebiet
protection; Schutz; it's a protection; es ist ein Schutz
protest; Protest; it's a protest; es ist ein Protest
proud; stolz; I am proud; ich bin stolz
prove; beweisen; they prove it; sie beweisen es
provide; bereitstellen; they provide help; sie stellen Hilfe bereit
psychologist; Psychologe; he is a psychologist; er ist ein Psychologe
psychology; Psychologie; I study psychology; ich studiere Psychologie
pub; Kneipe; it's a pub; es ist eine Kneipe
public; öffentlich; it's public; es ist öffentlich
publication; Veröffentlichung; it's a publication; es ist eine Veröffentlichung
publish; veröffentlichen; they publish the book; sie veröffentlichen das Buch
pull; ziehen; they pull the rope; sie ziehen das Seil
punish; bestrafen; they punish him; sie bestrafen ihn
punishment; Bestrafung; it's a punishment; es ist eine Bestrafung
pupil; Schüler; he is a pupil; er ist ein Schüler
purchase; kaufen; they purchase a car; sie kaufen ein Auto
pure; rein; it's pure water; es ist reines Wasser
purple; lila; it's purple; es ist lila
purpose; Zweck; what is the purpose?; was ist der Zweck?
pursue; verfolgen; they pursue a goal; sie verfolgen ein Ziel
push; schieben; they push the cart; sie schieben den Wagen
put; legen; they put the book there; sie legen das Buch dort
qualification; Qualifikation; it's a qualification; es ist eine Qualifikation
qualified; qualifiziert; he is qualified; er ist qualifiziert
qualify; qualifizieren; they qualify for the job; sie qualifizieren sich für den Job
quality; Qualität; it's good quality; es ist gute Qualität
quantity; Menge; what is the quantity?; was ist die Menge?
quarter; Viertel; it's a quarter; es ist ein Viertel
queen; Königin; she is a queen; sie ist eine Königin
question; Frage; it's a question; es ist eine Frage
queue; Schlange; it's a queue; es ist eine Schlange
quick; schnell; it's quick; es ist schnell
quickly; schnell; they do it quickly; sie machen es schnell
quiet; ruhig; it's quiet; es ist ruhig
quietly; leise; they talk quietly; sie reden leise
quit; aufhören; they quit the job; sie hören mit dem Job auf
quite; ziemlich; it's quite good; es ist ziemlich gut
quotation; Zitat; it's a quotation; es ist ein Zitat
quote; zitieren; they quote a line; sie zitieren eine Zeile
race; Rennen; it's a race; es ist ein Rennen
racing; Rennen; they like racing; sie mögen Rennen
radio; Radio; it's a radio; es ist ein Radio
railway; Eisenbahn; it's a railway; es ist eine Eisenbahn
rain; Regen; it's raining; es regnet
raise; erhöhen/aufziehen; they raise the flag/they raise children; sie erhöhen die Flagge/sie ziehen Kinder auf
range; Reichweite/Bereich; it's a range/it's a wide range; es ist eine Reichweite/es ist ein weiter Bereich
rank; Rang; it's a high rank; es ist ein hoher Rang
rapid; schnell; it's a rapid change; es ist eine schnelle Veränderung
rapidly; schnell; they do it rapidly; sie machen es schnell
rare; selten; it's rare; es ist selten
rarely; selten; I rarely go there; ich gehe selten dorthin
rate; Rate; what is the rate?; was ist die Rate?
rather; eher; I would rather go; ich würde eher gehen
raw; roh; it's raw; es ist roh
reach; erreichen; they reach the top; sie erreichen die Spitze
react; reagieren; they react quickly; sie reagieren schnell
reaction; Reaktion; it's a reaction; es ist eine Reaktion
read; lesen; I read a book; ich lese ein Buch
reader; Leser; he is a reader; er ist ein Leser
reading; Lesen; I like reading; ich mag Lesen
ready; bereit; I am ready; ich bin bereit
real; echt; it's real; es ist echt
realistic; realistisch; it's realistic; es ist realistisch
reality; Realität; it's reality; es ist Realität
realize; erkennen; I realize that; ich erkenne das
really; wirklich; it's really good; es ist wirklich gut
reason; Grund; what is the reason?; was ist der Grund?
reasonable; vernünftig; it's reasonable; es ist vernünftig
recall; erinnern; I recall that; ich erinnere mich daran
receipt; Quittung; it's a receipt; es ist eine Quittung
receive; erhalten; they receive a gift; sie erhalten ein Geschenk
recent; kürzlich; it's a recent event; es ist ein kürzliches Ereignis
recently; kürzlich; I was there recently; ich war kürzlich dort
reception; Empfang; it's a reception; es ist ein Empfang
recipe; Rezept; it's a recipe; es ist ein Rezept
recognize; erkennen; I recognize him; ich erkenne ihn
recommend; empfehlen; they recommend that; sie empfehlen das
recommendation; Empfehlung; it's a recommendation; es ist eine Empfehlung
record; aufzeichnen/Aufnahme; they record the sound/it's a record; sie zeichnen den Ton auf/es ist eine Aufnahme
recording; Aufnahme; it's a recording; es ist eine Aufnahme
recover; erholen; they recover from the illness; sie erholen sich von der Krankheit
recycle; recyceln; they recycle paper; sie recyceln Papier
red; rot; it's red; es ist rot
reduce; reduzieren; they reduce the price; sie reduzieren den Preis
reduction; Reduzierung; it's a reduction; es ist eine Reduzierung
refer; verweisen; they refer to the document; sie verweisen auf das Dokument
reference; Referenz; it's a reference; es ist eine Referenz
reflect; reflektieren; they reflect the light; sie reflektieren das Licht
refuse; ablehnen; they refuse the offer; sie lehnen das Angebot ab
regard; betrachten; they regard it; sie betrachten es
region; Region; it's a region; es ist eine Region
regional; regional; it's a regional event; es ist ein regionales Ereignis
register; registrieren; they register the company; sie registrieren die Firma
regret; bereuen; I regret that; ich bereue das
regular; regelmäßig; it's regular; es ist regelmäßig
regularly; regelmäßig; I go there regularly; ich gehe regelmäßig dorthin
regulation; Regelung; it's a regulation; es ist eine Regelung
reject; ablehnen; they reject the idea; sie lehnen die Idee ab
relate; beziehen; they relate to this; sie beziehen sich darauf
related; verwandt; they are related; sie sind verwandt
relation; Beziehung; it's a relation; es ist eine Beziehung
relationship; Beziehung; it's a relationship; es ist eine Beziehung
relative; relativ; it's relative; es ist relativ
relatively; relativ; it's relatively easy; es ist relativ einfach
relax; entspannen; I relax; ich entspanne
relaxed; entspannt; I am relaxed; ich bin entspannt
relaxing; entspannend; it's relaxing; es ist entspannend
release; freigeben; they release the animal; sie geben das Tier frei
relevant; relevant; it's relevant; es ist relevant
reliable; zuverlässig; it's reliable; es ist zuverlässig
relief; Erleichterung; it's a relief; es ist eine Erleichterung
religion; Religion; it's a religion; es ist eine Religion
religious; religiös; it's a religious event; es ist ein religiöses Ereignis
rely; sich verlassen; they rely on me; sie verlassen sich auf mich
remain; bleiben; they remain there; sie bleiben dort
remark; bemerken; I remark that; ich bemerke das
remember; erinnern; I remember it; ich erinnere mich daran
remind; erinnern; they remind me; sie erinnern mich
remote; abgelegen; it's remote; es ist abgelegen
remove; entfernen; they remove the object; sie entfernen das Objekt
rent; mieten; they rent a house; sie mieten ein Haus
repair; reparieren; they repair the car; sie reparieren das Auto
repeat; wiederholen; they repeat it; sie wiederholen es
repeated; wiederholt; it's a repeated action; es ist eine wiederholte Handlung
replace; ersetzen; they replace it; sie ersetzen es
reply; antworten; I reply to the message; ich antworte auf die Nachricht
report; berichten; they report the news; sie berichten die Nachrichten
reporter; Reporter; he is a reporter; er ist ein Reporter
represent; repräsentieren; they represent the country; sie repräsentieren das Land
representative; Vertreter; he is a representative; er ist ein Vertreter
reputation; Ruf; it's a good reputation; es ist ein guter Ruf
request; Anfrage; it's a request; es ist eine Anfrage
require; benötigen; they require that; sie benötigen das
requirement; Anforderung; it's a requirement; es ist eine Anforderung
rescue; retten; they rescue the people; sie retten die Leute
research; Forschung; it's a research project; es ist ein Forschungsprojekt
researcher; Forscher; he is a researcher; er ist ein Forscher
reservation; Reservierung; it's a reservation; es ist eine Reservierung
reserve; reservieren; they reserve a table; sie reservieren einen Tisch
resident; Bewohner; he is a resident; er ist ein Bewohner
resist; widerstehen; they resist the force; sie widerstehen der Kraft
resolve; lösen; they resolve the problem; sie lösen das Problem
resort; Ausweg/Resort; it's a resort/it's a last resort; es ist ein Ausweg/es ist ein letzter Ausweg
resource; Ressource; it's a resource; es ist eine Ressource
respect; Respekt; I have respect; ich habe Respekt
respond; antworten; they respond quickly; sie antworten schnell
response; Antwort; it's a response; es ist eine Antwort
responsibility; Verantwortung; it's a responsibility; es ist eine Verantwortung
responsible; verantwortlich; I am responsible; ich bin verantwortlich
rest; ruhen; I rest now; ich ruhe jetzt
restaurant; Restaurant; it's a restaurant; es ist ein Restaurant
result; Ergebnis; it's a good result; es ist ein gutes Ergebnis
retain; behalten; they retain the information; sie behalten die Information
retire; in Rente gehen; they retire from work; sie gehen von der Arbeit in Rente
retired; pensioniert; he is retired; er ist pensioniert
return; zurückkehren; they return home; sie kehren nach Hause zurück
reveal; offenbaren; they reveal a secret; sie offenbaren ein Geheimnis
review; überprüfen/Rezension; they review the report/it's a book review; sie überprüfen den Bericht/es ist eine Buchrezension
revise; überarbeiten; they revise the plan; sie überarbeiten den Plan
revolution; Revolution; it's a revolution; es ist eine Revolution
reward; Belohnung; it's a reward; es ist eine Belohnung
rhythm; Rhythmus; it's a rhythm; es ist ein Rhythmus
rice; Reis; it's rice; es ist Reis
rich; reich; he is rich; er ist reich
rid; befreien; they rid the place of something; sie befreien den Ort von etwas
ride; reiten/fahren; I ride a horse/I ride a bike; ich reite ein Pferd/ich fahre Fahrrad
right; richtig/rechts; it's right/it's on the right; es ist richtig/es ist rechts
ring; Ring/klingeln; it's a ring/they ring the bell; es ist ein Ring/sie klingeln mit der Glocke
rise; ansteigen; they rise to the top; sie steigen zur Spitze an
risk; Risiko; it's a risk; es ist ein Risiko
river; Fluss; it's a river; es ist ein Fluss
road; Straße; it's a road; es ist eine Straße
robot; Roboter; it's a robot; es ist ein Roboter
rock; Fels/Rock; it's a rock/it's rock music; es ist ein Fels/es ist Rockmusik
role; Rolle; it's a role; es ist eine Rolle
roll; rollen; they roll the ball; sie rollen den Ball
romantic; romantisch; it's romantic; es ist romantisch
roof; Dach; it's a roof; es ist ein Dach
room; Zimmer; it's a room; es ist ein Zimmer
root; Wurzel; it's a root; es ist eine Wurzel
rope; Seil; it's a rope; es ist ein Seil
rough; rau; it's rough; es ist rau
round; rund; it's round; es ist rund
route; Route; it's a route; es ist eine Route
routine; Routine; it's a routine; es ist eine Routine
row; Reihe/Rudern; it's a row/they row a boat; es ist eine Reihe/sie rudern ein Boot
royal; königlich; it's royal; es ist königlich
rub; reiben; they rub their hands; sie reiben ihre Hände
rubber; Gummi; it's rubber; es ist Gummi
rubbish; Müll; it's rubbish; es ist Müll
rude; unhöflich; he is rude; er ist unhöflich
rugby; Rugby; they play rugby; sie spielen Rugby
rule; Regel; it's a rule; es ist eine Regel
run; rennen; they run fast; sie rennen schnell
runner; Läufer; he is a runner; er ist ein Läufer
running; Rennen; I like running; ich mag Rennen
rural; ländlich; it's a rural area; es ist ein ländliches Gebiet
rush; eilen; they rush to the place; sie eilen zum Ort
sad; traurig; I am sad; ich bin traurig
sadly; traurig; sadly, it's true; traurig ist es wahr
safe; sicher; it's safe; es ist sicher
safety; Sicherheit; it's about safety; es geht um Sicherheit
sail; segeln; they sail the boat; sie segeln das Boot
sailing; Segeln; they like sailing; sie mögen Segeln
sailor; Segler; he is a sailor; er ist ein Segler
salad; Salat; it's a salad; es ist ein Salat
salary; Gehalt; it's a good salary; es ist ein gutes Gehalt
sale; Verkauf; it's a sale; es ist ein Verkauf
salt; Salz; it's salt; es ist Salz
same; gleich; it's the same; es ist das gleiche
sample; Probe; it's a sample; es ist eine Probe
sand; Sand; it's sand; es ist Sand
sandwich; Sandwich; it's a sandwich; es ist ein Sandwich
satellite; Satellit; it's a satellite; es ist ein Satellit
satisfied; zufrieden; I am satisfied; ich bin zufrieden
satisfy; zufriedenstellen; they satisfy the customer; sie stellen den Kunden zufrieden
saturday; Samstag; it's saturday; es ist Samstag
sauce; Soße; it's a sauce; es ist eine Soße
save; retten/sparen; they save money/they save the people; sie sparen Geld/sie retten die Leute
saving; Sparen; it's a saving; es ist ein Sparen
say; sagen; they say it; sie sagen es
scale; Skala; it's a scale; es ist eine Skala
scan; scannen; they scan the document; sie scannen das Dokument
scared; verängstigt; I am scared; ich bin verängstigt
scary; gruselig; it's scary; es ist gruselig
scene; Szene; it's a scene; es ist eine Szene
schedule; Zeitplan; it's a schedule; es ist ein Zeitplan
scheme; Schema; it's a scheme; es ist ein Schema
school; Schule; it's a school; es ist eine Schule
science; Wissenschaft; I study science; ich studiere Wissenschaft
scientific; wissenschaftlich; it's a scientific study; es ist eine wissenschaftliche Studie
scientist; Wissenschaftler; he is a scientist; er ist ein Wissenschaftler
score; Punktzahl; it's a good score; es ist eine gute Punktzahl
scream; schreien; they scream loudly; sie schreien laut
screen; Bildschirm; it's a screen; es ist ein Bildschirm
script; Drehbuch; it's a script; es ist ein Drehbuch
sculpture; Skulptur; it's a sculpture; es ist eine Skulptur
sea; Meer; it's a sea; es ist ein Meer
search; suchen; they search the place; sie suchen den Ort
season; Jahreszeit; it's a season; es ist eine Jahreszeit
seat; Sitz; it's a seat; es ist ein Sitz
second; Sekunde; it's a second; es ist eine Sekunde
secondary; sekundär; it's secondary; es ist sekundär
secondly; zweitens; secondly, it's true; zweitens ist es wahr
secret; Geheimnis; it's a secret; es ist ein Geheimnis
secretary; Sekretär; he is a secretary; er ist ein Sekretär
section; Abschnitt; it's a section; es ist ein Abschnitt
sector; Sektor; it's a sector; es ist ein Sektor
secure; sicher; it's secure; es ist sicher
security; Sicherheit; it's about security; es geht um Sicherheit
see; sehen; I see it; ich sehe es
seed; Samen; it's a seed; es ist ein Samen
seek; suchen; they seek help; sie suchen Hilfe
seem; scheinen; they seem happy; sie scheinen glücklich
select; auswählen; they select the best; sie wählen das Beste aus
selection; Auswahl; it's a good selection; es ist eine gute Auswahl
self; selbst; it's my self; es ist mein Selbst
sell; verkaufen; they sell the product; sie verkaufen das Produkt
send; senden; they send the letter; sie senden den Brief
senior; älter; he is a senior worker; er ist ein älterer Arbeiter
sense; Sinn; it makes sense; es macht Sinn
sensible; vernünftig; it's sensible; es ist vernünftig
sensitive; sensibel; he is sensitive; er ist sensibel
sentence; Satz; it's a sentence; es ist ein Satz
separate; getrennt; it's separate; es ist getrennt
september; September; it's september; es ist September
sequence; Sequenz; it's a sequence; es ist eine Sequenz
series; Serie; it's a tv series; es ist eine Fernsehserie
serious; ernst; it's serious; es ist ernst
seriously; ernsthaft; I am seriously thinking; ich denke ernsthaft nach
servant; Diener; he is a servant; er ist ein Diener
serve; servieren; they serve food; sie servieren Essen
service; Service; it's a good service; es ist ein guter Service
session; Sitzung; it's a session; es ist eine Sitzung
set; setzen/festlegen; they set the table/they set a rule; sie setzen den Tisch/sie legen eine Regel fest
setting; Einstellung/Umgebung; it's a setting; es ist eine Einstellung/Umgebung
settle; sich niederlassen/regeln; they settle in a new place/they settle the problem; sie lassen sich an einem neuen Ort nieder/sie regeln das Problem
seven; sieben; it's seven o'clock; es ist sieben Uhr
seventeen; siebzehn; it's seventeen; es ist siebzehn
seventy; siebzig; it's seventy; es ist siebzig
several; mehrere; there are several; da sind mehrere
severe; schwer; it's severe; es ist schwer
sex; Geschlecht; what is your sex?; was ist dein Geschlecht?
sexual; sexuell; it's sexual harassment; es ist sexuelle Belästigung
shade; Schatten; it's a shade; es ist ein Schatten
shadow; Schatten; it's a shadow; es ist ein Schatten
shake; schütteln; they shake hands; sie schütteln Hände
shall; sollen; shall we go?; sollen wir gehen?
shallow; flach; it's shallow; es ist flach
shame; Scham; it's a shame; es ist eine Scham
shape; Form; it's a shape; es ist eine Form
share; teilen; they share the food; sie teilen das Essen
sharp; scharf; it's sharp; es ist scharf
she; sie; she is here; sie ist hier
sheep; Schaf; it's a sheep; es ist ein Schaf
sheet; Blatt; it's a sheet of paper; es ist ein Blatt Papier
shelf; Regal; it's a shelf; es ist ein Regal
shell; Muschel; it's a shell; es ist eine Muschel
shelter; Unterschlupf; it's a shelter; es ist ein Unterschlupf
shift; Schicht; it's a shift; es ist eine Schicht
shine; scheinen; the sun shines; die Sonne scheint
shiny; glänzend; it's shiny; es ist glänzend
ship; Schiff; it's a ship; es ist ein Schiff
shirt; Hemd; it's a shirt; es ist ein Hemd
shock; Schock; it's a shock; es ist ein Schock
shocked; geschockt; I am shocked; ich bin geschockt
shoe; Schuh; it's a shoe; es ist ein Schuh
shoot; schießen; they shoot the gun; sie schießen mit der Pistole
shooting; Schießen; they are shooting; sie schießen
shop; Geschäft; it's a shop; es ist ein Geschäft
shopping; Einkaufen; I like shopping; ich mag Einkaufen
short; kurz; it's short; es ist kurz
shot; Schuss; it's a shot; es ist ein Schuss
should; sollten; you should go; du solltest gehen
shoulder; Schulter; it's my shoulder; es ist meine Schulter
shout; schreien; they shout loudly; sie schreien laut
show; zeigen; I show you; ich zeige es dir
shower; Dusche; it's a shower; es ist eine Dusche
shut; schließen; they shut the door; sie schließen die Tür
shy; schüchtern; he is shy; er ist schüchtern
sick; krank; I am sick; ich bin krank
side; Seite; it's on the side; es ist auf der Seite
sight; Sicht; it's a good sight; es ist eine gute Sicht
sign; Zeichen/Schild; it's a sign/it's a road sign; es ist ein Zeichen/es ist ein Straßenschild
signal; Signal; it's a signal; es ist ein Signal
significant; bedeutend; it's significant; es ist bedeutend
significantly; bedeutend; it changed significantly; es veränderte sich bedeutend
silence; Stille; it's silence; es ist Stille
silent; still; it's silent; es ist still
silk; Seide; it's silk; es ist Seide
silly; albern; it's silly; es ist albern
silver; Silber; it's silver; es ist Silber
similar; ähnlich; it's similar; es ist ähnlich
similarity; Ähnlichkeit; it's a similarity; es ist eine Ähnlichkeit
similarly; ähnlich; similarly, it's true; ähnlich ist es wahr
simple; einfach; it's simple; es ist einfach
simply; einfach; it's simply true; es ist einfach wahr
since; seit; I am here since yesterday; ich bin seit gestern hier
sincere; aufrichtig; he is sincere; er ist aufrichtig
sing; singen; they sing a song; sie singen ein Lied
singer; Sänger; he is a singer; er ist ein Sänger
singing; Singen; I like singing; ich mag Singen
single; einzeln; it's a single item; es ist ein einzelner Gegenstand
sink; Waschbecken/sinken; it's a sink/they sink the ship; es ist ein Waschbecken/sie senken das Schiff
sir; Herr; yes, sir; ja, Herr
sister; Schwester; she is my sister; sie ist meine Schwester
sit; sitzen; I sit down; ich setze mich
site; Ort; it's a site; es ist ein Ort
situation; Situation; it's a situation; es ist eine Situation
six; sechs; it's six o'clock; es ist sechs Uhr
sixteen; sechzehn; it's sixteen; es ist sechzehn
sixty; sechzig; it's sixty; es ist sechzig
size; Größe; what is the size?; was ist die Größe?
ski; Ski; they ski; sie fahren Ski
skiing; Skifahren; I like skiing; ich mag Skifahren
skill; Fähigkeit; it's a skill; es ist eine Fähigkeit
skin; Haut; it's my skin; es ist meine Haut
skirt; Rock; it's a skirt; es ist ein Rock
sky; Himmel; it's the sky; es ist der Himmel
slave; Sklave; he is a slave; er ist ein Sklave
sleep; schlafen; I want to sleep; ich möchte schlafen
slice; Scheibe; it's a slice; es ist eine Scheibe
slide; Rutsche/gleiten; it's a slide/they slide down; es ist eine Rutsche/sie gleiten runter
slight; gering; it's a slight change; es ist eine geringe Veränderung
slightly; leicht; it's slightly different; es ist leicht anders
slip; ausrutschen; they slip on the ice; sie rutschen auf dem Eis aus
slope; Hang; it's a slope; es ist ein Hang
slow; langsam; it's slow; es ist langsam
slowly; langsam; they walk slowly; sie gehen langsam
small; klein; it's small; es ist klein
smart; schlau/elegant; he is smart/it's smart; er ist schlau/es ist elegant
smell; riechen; I smell something; ich rieche etwas
smile; lächeln; I smile; ich lächle
smoke; rauchen/Rauch; they smoke a cigarette/it's smoke; sie rauchen eine Zigarette/es ist Rauch
smoking; Rauchen; it's bad for smoking; es ist schlecht für das Rauchen
smooth; glatt; it's smooth; es ist glatt
snake; Schlange; it's a snake; es ist eine Schlange
snow; Schnee; it's snow; es ist Schnee
so; so; I am so tired; ich bin so müde
soap; Seife; it's soap; es ist Seife
soccer; Fußball; they play soccer; sie spielen Fußball
social; sozial; it's a social event; es ist ein soziales Ereignis
society; Gesellschaft; it's a society; es ist eine Gesellschaft
sock; Socke; it's a sock; es ist eine Socke
soft; weich; it's soft; es ist weich
software; Software; it's software; es ist Software
soil; Boden; it's soil; es ist Boden
solar; solar; it's solar power; es ist Solarenergie
soldier; Soldat; he is a soldier; er ist ein Soldat
solid; fest; it's solid; es ist fest
solution; Lösung; it's a solution; es ist eine Lösung
solve; lösen; they solve the problem; sie lösen das Problem
some; einige; some people; einige Leute
somebody; jemand; somebody is there; jemand ist da
someone; jemand; someone knows; jemand weiß es
something; etwas; I want something; ich will etwas
sometimes; manchmal; sometimes I go; manchmal gehe ich
somewhat; etwas; it's somewhat good; es ist etwas gut
somewhere; irgendwo; I go somewhere; ich gehe irgendwohin
son; Sohn; he is my son; er ist mein Sohn
song; Lied; it's a song; es ist ein Lied
soon; bald; I'll go soon; ich werde bald gehen
sorry; leid; I am sorry; es tut mir leid
sort; Sorte; what sort?; welche Sorte?
soul; Seele; it's my soul; es ist meine Seele
sound; Geräusch/Ton; it's a sound; es ist ein Geräusch/Ton
soup; Suppe; it's a soup; es ist eine Suppe
source; Quelle; it's a source; es ist eine Quelle
south; Süden; it's in the south; es ist im Süden
southern; südlich; it's a southern city; es ist eine südliche Stadt
space; Raum; it's space; es ist Raum
speak; sprechen; they speak English; sie sprechen Englisch
speaker; Sprecher; he is a speaker; er ist ein Sprecher
special; besonders; it's special; es ist besonders
specialist; Spezialist; he is a specialist; er ist ein Spezialist
species; Spezies; it's a species; es ist eine Spezies
specific; spezifisch; it's specific; es ist spezifisch
specifically; spezifisch; specifically, this is true; spezifisch ist das wahr
speech; Rede; it's a speech; es ist eine Rede
speed; Geschwindigkeit; it's a speed; es ist eine Geschwindigkeit
spell; buchstabieren; they spell the word; sie buchstabieren das Wort
spelling; Rechtschreibung; it's the spelling; es ist die Rechtschreibung
spend; ausgeben; they spend money; sie geben Geld aus
spending; Ausgaben; it's about spending; es geht um Ausgaben
spicy; scharf; it's spicy; es ist scharf
spider; Spinne; it's a spider; es ist eine Spinne
spirit; Geist; it's a spirit; es ist ein Geist
spiritual; spirituell; it's a spiritual matter; es ist eine spirituelle Angelegenheit
split; teilen; they split the group; sie teilen die Gruppe
spoken; gesprochen; it's a spoken word; es ist ein gesprochenes Wort
sponsor; Sponsor; he is a sponsor; er ist ein Sponsor
spoon; Löffel; it's a spoon; es ist ein Löffel
sport; Sport; it's a sport; es ist ein Sport
spot; Stelle; it's a spot; es ist eine Stelle
spread; ausbreiten; they spread the news; sie breiten die Nachrichten aus
spring; Frühling/Feder; it's spring/it's a spring; es ist Frühling/es ist eine Feder
square; Quadrat; it's a square; es ist ein Quadrat
stable; stabil; it's stable; es ist stabil
stadium; Stadion; it's a stadium; es ist ein Stadion
staff; Personal; it's the staff; es ist das Personal
stage; Bühne; it's a stage; es ist eine Bühne
stair; Treppe; it's a stair; es ist eine Treppe
stamp; Briefmarke/stempeln; it's a stamp/they stamp the letter; es ist eine Briefmarke/sie stempeln den Brief
stand; stehen; I stand up; ich stehe auf
standard; Standard; it's a standard; es ist ein Standard
star; Stern; it's a star; es ist ein Stern
stare; starren; they stare at me; sie starren mich an
start; beginnen; they start the race; sie beginnen das Rennen
state; Staat/Zustand; it's a state/it's in a bad state; es ist ein Staat/es ist in einem schlechten Zustand
statement; Aussage; it's a statement; es ist eine Aussage
station; Bahnhof/Station; it's a train station/it's a station; es ist ein Bahnhof/es ist eine Station
statistic; Statistik; it's a statistic; es ist eine Statistik
statue; Statue; it's a statue; es ist eine Statue
status; Status; what is your status?; was ist dein Status?
stay; bleiben; I stay here; ich bleibe hier
steady; stetig; it's steady; es ist stetig
steal; stehlen; they steal money; sie stehlen Geld
steel; Stahl; it's steel; es ist Stahl
steep; steil; it's steep; es ist steil
step; Schritt; it's a step; es ist ein Schritt
stick; kleben/Stock; they stick it together/it's a stick; sie kleben es zusammen/es ist ein Stock
sticky; klebrig; it's sticky; es ist klebrig
stiff; steif; it's stiff; es ist steif
still; still/noch; it's still/I still want that; es ist still/ich will das noch
stock; Lager/Aktien; it's a stock/they buy stocks; es ist ein Lager/sie kaufen Aktien
stomach; Magen; it's my stomach; es ist mein Magen
stone; Stein; it's a stone; es ist ein Stein
stop; stoppen; they stop the car; sie stoppen das Auto
store; Laden/speichern; it's a store/they store the data; es ist ein Laden/sie speichern die Daten
storm; Sturm; it's a storm; es ist ein Sturm
story; Geschichte; it's a story; es ist eine Geschichte
straight; gerade; it's straight; es ist gerade
strange; seltsam; it's strange; es ist seltsam
stranger; Fremder; he is a stranger; er ist ein Fremder
strategy; Strategie; it's a strategy; es ist eine Strategie
stream; Bach; it's a stream; es ist ein Bach
street; Straße; it's a street; es ist eine Straße
strength; Stärke; it's a strength; es ist eine Stärke
stress; Stress; I have stress; ich habe Stress
stretch; dehnen; they stretch the material; sie dehnen das Material
strict; streng; he is strict; er ist streng
strike; streiken/schlagen; they strike/they strike him; sie streiken/sie schlagen ihn
string; Schnur; it's a string; es ist eine Schnur
strong; stark; it's strong; es ist stark
strongly; stark; they feel strongly; sie fühlen stark
structure; Struktur; it's a structure; es ist eine Struktur
struggle; kämpfen; they struggle; sie kämpfen
student; Student; he is a student; er ist ein Student
studio; Studio; it's a studio; es ist ein Studio
study; studieren/Studie; I study english/it's a study; ich studiere Englisch/es ist eine Studie
stuff; Zeug; it's stuff; es ist Zeug
stupid; dumm; it's stupid; es ist dumm
style; Stil; it's a style; es ist ein Stil
subject; Subjekt/Fach; it's a subject/it's the subject; es ist ein Subjekt/es ist das Fach
sublist; Unterliste; it's a sublist; es ist eine Unterliste
submit; einreichen; they submit the report; sie reichen den Bericht ein
substance; Substanz; it's a substance; es ist eine Substanz
succeed; gelingen; they succeed; es gelingt ihnen
success; Erfolg; it's a success; es ist ein Erfolg
successful; erfolgreich; it's successful; es ist erfolgreich
successfully; erfolgreich; they do it successfully; sie machen es erfolgreich
such; solche; such things happen; solche Dinge passieren
sudden; plötzlich; it's a sudden change; es ist eine plötzliche Veränderung
suddenly; plötzlich; suddenly it happened; plötzlich ist es passiert
suffer; leiden; they suffer a loss; sie erleiden einen Verlust
sugar; Zucker; it's sugar; es ist Zucker
suggest; vorschlagen; they suggest that; sie schlagen vor, dass
